id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		0,8.682955,-11.68714	0,0,1		1.080061
2	3	1		0,8.682955,40.94287	0,0,1		1.080061
3	-1	2		0,8.682955,100.168	0,0,1		1.080061
4	5	-1		15.4206,7.12429,114.0182	0.9992291,0,0.03925937		7.530061
5	6	4		28.81445,9.123624,145.8446	0.99889,0,0.04710633		-0.4199524
6	7	5		59.44668,10.05283,163.0435	0.9802713,0,-0.1976572		-3.71994
7	8	6		78.85168,6.75,181.858	0.9999143,0,-0.01308918		12.18006
8	9	7		97.67814,7.81684,193.5804	0.9999999,0,0		4.230061
9	10	8		97.67814,6.75,176.2787	0.9999965,0,0		21.03007
10	11	9		113.0013,6.75,169.6477	0.9999863,0,0		43.23007
11	12	10		113.0433,6.75,161.6413	0.9999863,0,0		43.23007
12	13	11		113.0816,6.75,154.3151	0.9999863,0,0		43.23007
13	14	12		113.1165,6.75,147.6607	0.9999863,0,0		43.23007
14	15	13		113.2212,6.75,127.6865	0.9999863,0,0		43.23007
15	16	14		113.2561,6.75,121.0215	0.9999863,0,0		43.23007
16	17	15		113.354,6.75,102.321	0.9999863,0,0		43.23007
17	18	16		113.3994,6.75,93.66952	0.9999863,0,0		43.23007
18	19	17		113.4343,6.75,87.00651	0.9999863,0,0		43.23007
19	22	18		77.16894,11.02055,73.98366	0.8567169,0,0.515787		-8.519928
20	21	22		124.7534,8.130789,55.64539	0.9999452,0,-0.01047015		3.030065
21	23	20		133.2436,8.130789,40.25025	0.9999452,0,-0.01047015		3.030065
22	20	19		94.43935,8.509159,57.01627	0.8910073,0,-0.4539893		1.680065
23	-1	21		103.1386,9.211726,56.22113	0,0,-0.9999864		-0.7199402

